date,cumulative_deaths
19-Dec-20,35207
20-Dec-20,35690
21-Dec-20,36563
22-Dec-20,37282
23-Dec-20,38027
24-Dec-20,38595
25-Dec-20,39001
26-Dec-20,39559
27-Dec-20,40105
28-Dec-20,40981
29-Dec-20,41760
30-Dec-20,42468
31-Dec-20,43023
1-Jan-21,43520
2-Jan-21,44040
3-Jan-21,44528
4-Jan-21,45405
5-Jan-21,46079
6-Jan-21,46667
7-Jan-21,47236
8-Jan-21,47751
9-Jan-21,48134
10-Jan-21,48494
11-Jan-21,49095
12-Jan-21,49604
13-Jan-21,50042
14-Jan-21,50501
15-Jan-21,50866
16-Jan-21,51143
17-Jan-21,51415
18-Jan-21,51759
19-Jan-21,52074
20-Jan-21,52408
21-Jan-21,52653
22-Jan-21,52869
23-Jan-21,53059
24-Jan-21,53242
25-Jan-21,53487
26-Jan-21,53668
27-Jan-21,53869
28-Jan-21,54044
29-Jan-21,54206
30-Jan-21,54337
31-Jan-21,54454
1-Feb-21,54626
2-Feb-21,54770
3-Feb-21,54907
4-Feb-21,55013
5-Feb-21,55101
6-Feb-21,55184
7-Feb-21,55251
8-Feb-21,55337
9-Feb-21,55386
10-Feb-21,55456
11-Feb-21,55521
12-Feb-21,55577
13-Feb-21,55621
14-Feb-21,55662
15-Feb-21,55706
16-Feb-21,55745
17-Feb-21,55781
18-Feb-21,55815
19-Feb-21,55851
20-Feb-21,55877
21-Feb-21,55893
22-Feb-21,55913
23-Feb-21,55937
24-Feb-21,55954
25-Feb-21,55967
26-Feb-21,55983
27-Feb-21,55991
28-Feb-21,56004
1-Mar-21,56016
2-Mar-21,56025
3-Mar-21,56031
4-Mar-21,56043
5-Mar-21,56047
6-Mar-21,56048
7-Mar-21,56051
8-Mar-21,56054
9-Mar-21,56058
10-Mar-21,56062
11-Mar-21,56065
12-Mar-21,56067
13-Mar-21,56069
15-Mar-21,56070
14-Mar-21,56070
19-Mar-21,56072
18-Mar-21,56072
17-Mar-21,56072
16-Mar-21,56072
